input	base	family	operator	expected	actual	class_match	location	location_match	location_primary	lean_agree	replay_ok	total_bytes	policy_bytes	payload_bytes	hs_check_ns	lean_wall_ns
fixtures/mutants/A--undeclared-leaf-0.sexp	A	undeclared-leaves	undeclared-leaf	reject-R1	reject-R1	true	arg:3	true	true	true	-	4062	1352	2710	48170	4201276
fixtures/mutants/A--undeclared-leaf-1.sexp	A	undeclared-leaves	undeclared-leaf	reject-R1	reject-R1	true	arg:3	true	true	true	-	4062	1352	2710	128603	3058306
fixtures/mutants/A--hidden-rule-0.sexp	A	hidden-policy-extension	hidden-rule	reject-R1	reject-R1	true	arg:3	true	true	true	-	4054	1352	2702	47361	3598765
fixtures/mutants/A--hidden-contrary-0.sexp	A	hidden-policy-extension	hidden-contrary	reject-R12	reject-R12	true	policy	true	true	true	-	4252	1514	2738	44481	3729628
fixtures/mutants/A--wrong-subst-domain-0.sexp	A	wrong-formulas	wrong-subst-domain	reject-R3	reject-R3	true	arg:0	true	true	true	-	4054	1352	2702	101771	3995542
fixtures/mutants/A--wrong-premise-0.sexp	A	wrong-formulas	wrong-premise	reject-R4	reject-R4	true	arg:3	true	true	true	-	4050	1352	2698	116192	4226147
fixtures/mutants/A--open-obligation-0.sexp	A	open-obligations	open-obligation	reject-R5	reject-R5	true	arg:3	true	true	true	-	4024	1352	2672	132112	3806109
fixtures/mutants/A--hole-obligation-0.sexp	A	open-obligations	hole-obligation	reject-IncompleteArgument	reject-IncompleteArgument	true	arg:0	true	true	true	-	4038	1352	2686	130552	3989802
fixtures/mutants/A--wrong-discharge-0.sexp	A	open-obligations	wrong-discharge	reject-R6	reject-R6	true	arg:0	true	true	true	-	4050	1352	2698	151713	3993583
fixtures/mutants/A--trusted-assurance-0.sexp	A	certificate-tampering	trusted-assurance	reject-R7	reject-R7	true	arg:0	true	true	true	-	4053	1352	2701	89512	3362571
fixtures/mutants/A--bad-attack-position-0.sexp	A	bad-attack-targets	bad-attack-position	reject-R10	reject-R10	true	attack:2	true	true	true	-	4050	1352	2698	162693	3775578
fixtures/mutants/A--bad-attack-position-1.sexp	A	bad-attack-targets	bad-attack-position	reject-R10	reject-R10	true	attack:0	true	true	true	-	4060	1352	2708	138933	3782819
fixtures/mutants/A--unlicensed-attack-0.sexp	A	bad-attack-targets	unlicensed-attack	reject-R11	reject-R11	true	attack:4	true	true	true	-	4064	1352	2712	71681	3597145
fixtures/mutants/A--drop-covering-attack-0.sexp	A	bad-attack-targets	drop-covering-attack	reject-MissingConflict	reject-MissingConflict	true	conflict:3-0	true	true	true	-	4036	1352	2684	64431	3002245
fixtures/mutants/A--group-conflict-0.sexp	A	data-integrity	group-conflict	reject-R9	reject-R9	true	group:mut_g	true	true	true	-	4088	1352	2736	18340	3259899
fixtures/mutants/A--retract-rule-0.sexp	A	localization	retract-rule	reject-R1	reject-R1	true	arg:0	true	true	true	-	3590	892	2698	32420	3746478
fixtures/mutants/A--twin-support-defect-0.sexp	A	localization	twin-support-defect	reject-R4	reject-R4	true	arg:0	true	true	true	-	4050	1352	2698	46501	3179578
fixtures/mutants/A--cross-stage-defect-0.sexp	A	localization	cross-stage-defect	reject-R4	reject-R4	true	arg:0	true	true	true	-	4035	1352	2683	41471	3651696
fixtures/mutants/A--undeclared-pred-0.sexp	A	signature	undeclared-pred	reject-R2	reject-R2	true	policy	true	true	true	-	4062	1352	2710	81532	3710267
fixtures/mutants/A--wrong-pred-arity-0.sexp	A	signature	wrong-pred-arity	reject-R2	reject-R2	true	policy	true	true	true	-	4042	1352	2690	72472	3555634
fixtures/mutants/A--wrong-arg-sort-0.sexp	A	signature	wrong-arg-sort	reject-R2	reject-R2	true	policy	true	true	true	-	4003	1352	2651	26900	3746598
fixtures/mutants/A--wrong-arg-sort-1.sexp	A	signature	wrong-arg-sort	reject-R2	reject-R2	true	policy	true	true	true	-	4097	1352	2745	87272	3814100
fixtures/mutants/A--undeclared-con-0.sexp	A	signature	undeclared-con	reject-R2	reject-R2	true	policy	true	true	true	-	4062	1352	2710	31120	3382461
fixtures/mutants/A--wrong-theta-sort-0.sexp	A	signature	wrong-theta-sort	reject-R2	reject-R2	true	policy	true	true	true	-	4054	1352	2702	37681	3576045
fixtures/mutants/A--out-of-scope-var-0.sexp	A	hidden-policy-extension	out-of-scope-var	reject-R12	reject-R12	true	policy	true	true	true	-	4065	1367	2698	42041	3447762
fixtures/mutants/A--sigma-duplicate-sort-0.sexp	A	signature	sigma-duplicate-sort	reject-R2	reject-R2	true	policy	true	true	true	-	4076	1352	2724	7400	3412041
